district,year,total_residents,jutland_residents,local_residents,jutland_share_pct,local_share_pct,edu_total,edu_high,high_ed_share_pct
Indre By,2002,37703.0,6504.0,16693.0,17.250616661804102,44.27499137999629,30632.0,12502.0,40.81352833638026
Indre By,2003,37946.0,6598.0,16736.0,17.38786696885047,44.104780477520684,30669.0,12846.0,41.88594346082363
Indre By,2004,38039.0,6619.0,16675.0,17.400562580509476,43.836588764163096,30512.0,12931.0,42.38004719454641
Indre By,2005,37938.0,6605.0,16631.0,17.40998471189836,43.83731351151879,30253.0,13054.0,43.14943972498595
Indre By,2006,37724.0,6661.0,16489.0,17.657194359028736,43.709574806489236,30405.0,13457.0,44.25916790001644
Indre By,2007,37974.0,6695.0,16558.0,17.630484015378943,43.60351819666087,30266.0,12830.0,42.39080155950572
Indre By,2008,37957.0,6774.0,16510.0,17.84651052506784,43.496588244592566,30388.0,13866.0,45.6298538896933
Indre By,2009,38213.0,6726.0,16562.0,17.601339858163453,43.341271295108996,30825.0,14267.0,46.28386050283861
Indre By,2010,38887.0,6912.0,16695.0,17.774577622341656,42.932085272713245,31325.0,14720.0,46.99122106943336
Indre By,2011,39480.0,7128.0,16772.0,18.054711246200608,42.4822695035461,32072.0,15294.0,47.68645547518084
Indre By,2012,40432.0,7368.0,17045.0,18.223189552829442,42.15720221606648,32355.0,15713.0,48.5643640859218
Indre By,2013,41013.0,7550.0,17158.0,18.40879721064053,41.83551556823446,32485.0,16023.0,49.32430352470371
Indre By,2014,41405.0,7557.0,17282.0,18.25141891075957,41.738920420239104,32811.0,16371.0,49.894852336106794
Indre By,2015,42106.0,7483.0,17513.0,17.77181399325512,41.592647128675246,33241.0,16823.0,50.609187449234376
Indre By,2016,42822.0,7567.0,17762.0,17.670823408528328,41.478679183597215,33347.0,17042.0,51.10504693075839
Indre By,2017,43410.0,7667.0,18056.0,17.66182907164248,41.59410274130385,33002.0,17016.0,51.56051148415248
Indre By,2018,43139.0,7581.0,17964.0,17.573425438698163,41.64213356823292,33165.0,17159.0,51.738278305442485
Indre By,2019,43442.0,7525.0,18103.0,17.32194650338382,41.67165415956908,32943.0,17080.0,51.84712989102389
Indre By,2020,43343.0,7395.0,18170.0,17.061578570934177,41.92141752993563,33046.0,17035.0,51.54935544392665
Indre By,2021,43588.0,7455.0,18203.0,17.103331192071213,41.761493989171335,32771.0,16843.0,51.39605138689695
Indre By,2022,43190.0,7422.0,18055.0,17.18453345681871,41.80365825422552,32610.0,16856.0,51.68966574670347
Indre By,2023,42884.0,7326.0,18014.0,17.08329446879955,42.00634269191307,32623.0,17023.0,52.180976611593046
Indre By,2024,42885.0,7287.0,17976.0,16.991955229101084,41.91675410982861,32934.0,17349.0,52.67808343960649
Nørrebro,1985,56518.0,8701.0,29641.0,15.39509536784741,52.445238685020705,41334.0,4559.0,11.029660811922389
Nørrebro,1986,55714.0,8556.0,28957.0,15.35700183077862,51.97436909932871,41116.0,4852.0,11.800758828679832
Nørrebro,1987,55176.0,8368.0,28613.0,15.16601420907641,51.857691750036246,42237.0,5330.0,12.619267466912897
Nørrebro,1988,56330.0,8412.0,28994.0,14.933428013491923,51.471684715071895,42706.0,5766.0,13.50161569802838
Nørrebro,1989,56673.0,8324.0,29033.0,14.687770190390486,51.22898029043813,42828.0,6060.0,14.149621742785094
Nørrebro,1990,56621.0,8349.0,28739.0,14.745412479468749,50.75678635135374,42550.0,6349.0,14.921269095182138
Nørrebro,1991,55927.0,8345.0,27879.0,14.921236612012088,49.84891018649311,42685.0,6677.0,15.642497364413728
Nørrebro,1992,56504.0,8427.0,27937.0,14.913988390202464,49.44251734390485,42631.0,7114.0,16.687387112664492
Nørrebro,1993,56499.0,8320.0,27921.0,14.72592435264341,49.41857378006691,42255.0,7395.0,17.500887468938586
Nørrebro,1994,56091.0,8188.0,27597.0,14.597707297070832,49.200406482323366,42347.0,8003.0,18.898623279098874
